name,county,latitude,longitude,year,acres,structures
Rim Fire,Tuolumne,37.857,-120.086,2013,257314,
Powerhouse Fire,Los Angeles,34.585595,-118.423176,2013,30274,
Mountain Fire,Riverside,33.7095,-116.72885,2013,27531,
American Fire,Placer,39.12,-120.65,2013,27440,
Springs Fire,Ventura,0,0,2013,24251,10
Aspen Fire,Fresno,37.279,-119.318,2013,22992,
Silver Fire,Riverside,33.86157,-116.90427,2013,20292,40
Salmon River Complex,Siskiyou,41.32,-123.176,2013,14754,
Corral Complex,Humboldt,41.035,-123.488,2013,12503,
Deer Fire,Tehama,40.04263,-121.85397,2013,11429,
Clover Fire,Shasta,40.498332,-122.535496,2013,8073,201
Chariot Fire,San Diego,32.95435,-116.47381,2013,7055,149
Panther Fire,Tehama,40.190062,-121.595555,2013,6965,
Grand Fire,Kern,34.7861,-118.9411,2013,4346,
Grand Fire,Ventura,34.7861,-118.9411,2013,4346,
McCabe Fire,Sonoma,38.8167,-122.8498,2013,3505,1
Summit Fire,Riverside,34.288877,-116.941311,2013,3166,1
Morgan Fire,Contra Costa,37.90757,-121.882582,2013,3111,
San Felipe Fire,San Diego,33.12111,-116.52579,2013,2781,
Swedes Fire,Butte,39.446268,-121.38236,2013,2462,7
DeLuz Fire,San Diego,33.341,-117.3092,2013,2236,
Fish Fire,Tulare,36.208,-118.444,2013,2060,
White Fire,Santa Barbara,34.55048,-119.82429,2013,1984,
Carstens Fire,Mariposa,37.58202,-119.91071,2013,1708,
Falls Fire,Riverside,33.62236,-117.40288,2013,1383,
General Fire,San Diego,33.04458,-116.5209,2013,1271,
Power Fire,Tuolumne,38.25108,-120.02778,2013,1070,
Pfeiffer Fire,Monterey,0,0,2013,917,
Shirley Fire,Kern,35.707,-118.588,2013,794,
Rancho Fire,Kern,34.882,-118.9194,2013,712,
Lake Fire,Los Angeles,34.49149,-118.610044,2013,712,
Water Fire,Kern,34.90327,-118.93388,2013,612,
Kyburz Fire,El Dorado,38.774,-120.298,2013,572,
Mills Fire,San Bernardino,34.071556,-117.048397,2013,534,0
Plumas Lightning Complex (Hough),Plumas,40.00842,-120.764666,2013,513,
Gorgonio Fire,Riverside,33.894055,-116.855019,2013,510,
Fox Fire (formally 3-7 Fire),Modoc,41.2415,-121.035,2013,502,
Branch Fire,San Luis Obispo,35.15832,-120.05131,2013,500,
Kirker Fire,Contra Costa,37.96866,-121.91453,2013,492,
Rolling Fire,Madera,37.015575,-119.78106,2013,482,1
Gobblers Fire,San Bernardino,34.302,-117.598,2013,413,
River Fire,Inyo,36.602575,-118.01651,2013,406,0
Putah Fire,Napa,38.628,-122.289,2013,376,
Tres Pinos Fire,San Benito,37.160346,-120.937494,2013,354,
Jurupa Fire,Riverside,0,0,2013,311,
Summit Fire,Butte,39.439,-121.497,2013,305,4
Shelton Fire,San Joaquin,38.04993,-120.90325,2013,303,
Lone Fire,Butte,39.434183,-121.576804,2013,298,9
Becks Fire,Lake,0,0,2013,296,
Concord Fire,Contra Costa,39.90465,-121.74367,2013,274,
Gold Fire,Madera,37.116295,-119.635004,2013,274,
Madre Fire,Los Angeles,34.149,-117.908,2013,268,
Lyon Fire,San Diego,32.710918,-116.746023,2013,263,
Sharp Fire,San Bernardino,34.35,-117.62,2013,243,
Vasco Fire,Alameda,37.775057,-121.737213,2013,240,
PFE Fire,Placer,38.729297,-121.380862,2013,237,
Daves Fire,Glenn,0,0,2013,226,
306 Fire,Glenn,39.514139,-122.560862,2013,217,
Tassajara Fire,Monterey,0,0,2013,213,
Sierra Fire,San Bernardino,34.2,-117.417,2013,200,
Vina Fire,Tehama,40.012398,-122.079871,2013,200,
Burney Lightning Series (Warner Fire),Shasta,40.5445,-121.3754,2013,196,
Paskenta Fire,Tehama,39.961309,-122.330879,2013,195,
Silverado Fire,Napa,38.382,-122.311,2013,190,1
Olive Fire,Santa Barbara,34.611824,-120.074655,2013,170,
Capay Fire,Yolo,38.67479,-122.08725,2013,163,
50 Fire,El Dorado,38.63987,-121.08438,2013,163,
50 Fire,Sacramento,38.63987,-121.08438,2013,163,
Crane Fire,Sonoma,38.34599,-122.6503,2013,159,
Lakeville Fire,Sonoma,38.17693,-122.51253,2013,158,
Highland Fire,Alameda,0,0,2013,150,
Redlands Fire,Riverside,33.990128,-117.164997,2013,150,
Diablo Fire,Stanislaus,37.436,-121.1955,2013,150,
George Fire,Fresno,36.7218,-119.2248,2013,150,
Neal Fire,Butte,0,0,2013,150,
Magic Fire,Los Angeles,34.419284,-118.58688,2013,149,
Angora Fire,Tulare,36.258,-118.459,2013,134,
Yellow Fire,Sonoma,38.638828,-122.655616,2013,125,
California Fire,Solano,38.08744,-122.13802,2013,124,
152 Fire,Merced,37.03776,-121.006939,2013,124,
Smiley Fire,Riverside,33.963591,-117.187934,2013,124,
Cantwell Fire,Lake,38.882214,-122.567525,2013,120,1
Union Fire,El Dorado,38.682378,-120.839075,2013,116,1
Cleghorn Fire,San Bernardino,34.287,-117.451,2013,110,
Clinton Fire,Fresno,36.772425,-119.628389,2013,108,
Freeman Fire,Monterey,36.1531,-120.8973,2013,105,
Bee Fire,Los Angeles,0,0,2013,100,
Murphy Fire,Tuolumne,37.91529,-120.33313,2013,100,
Border Fire,San Diego,32.564465,-116.900368,2013,100,
Highland Fire,Mendocino,38.9252,-122.966,2013,98,
Davis Creek Complex,Modoc,41.73325,-120.375,2013,97,
Little Fire,San Bernardino,33.642,-116.706,2013,97,
Coyote Fire,Lassen,40.88886,-120.958126,2013,97,
Roadrunner Fire,Amador,38.27783,-120.966016,2013,96,
Creek Fire,San Luis Obispo,35.4393,-120.8358,2013,94,
Branch Fire,Butte,39.6612,-121.50354,2013,92,
Lilly 2 Fire,Madera,37.1927,-119.7917,2013,91,1
Water Fire,Riverside,33.9582,-116.6534,2013,90,
Adelaida Fire,San Luis Obispo,35.62743,-120.83417,2013,85,
Retek Fire,Mendocino,39.0442,-123.1478,2013,82,
Centerville Fire,Butte,39.731878,-121.713938,2013,80,
Butte Fire,Fresno,0,0,2013,80,
Tehama Fire,Tehama,0,0,2013,75,
Silverwood Fire,San Bernardino,34.316,-117.352,2013,75,
Revis Fire,Madera,37.169379,-119.75636,2013,75,
Lytle Fire,San Bernardino,34.1834,-117.4408,2013,75,1
Silverado Fire,Napa,38.441792,-122.350844,2013,75,
Liveoak Fire,San Bernardino,34.003151,-117.106075,2013,73,
McGanney Fire,Yuba,39.206,-121.31634,2013,73,
Cedar Fire,Butte,0,0,2013,72,
Double Fire,Lake,39.013682,-122.491894,2013,70,
Rail Fire,Modoc,41.569,-120.959,2013,68,
Wheeler Fire,Ventura,34.384,-119.13249,2013,64,
Tram Fire,Riverside,38.838,-116.61,2013,60,
Relay Fire,Riverside,33.91027,-116.99895,2013,60,
Tyler Fire,Nevada,39.333401,-121.107022,2013,52,
Toro Fire,San Luis Obispo,35.457978,-120.751555,2013,51,
Bruner Fire,Lake,39.0448,-122.7656,2013,50,
Cottonwood Fire,Siskiyou,41.923323,-122.578393,2013,50,
Uvas Fire,Santa Clara,37.1438,-121.7804,2013,50,
Grant Fire,Alameda,37.7393,-121.5869,2013,50,
Homestead Fire,San Luis Obispo,35.5123,-120.6368,2013,50,
Bridges Fire,Calaveras,38.06231,-120.45233,2013,46,
Sierra Fire,Fresno,37.03087,-119.463757,2013,46,
Pratt Fire,Mendocino,38.980846,-123.067671,2013,45,
Happy Camp Fire,Ventura,0,0,2013,44,
Fiddler Fire,Shasta,40.373,-122.7338,2013,43,
Viper Fire,Riverside,33.96936,-117.1265,2013,42,
Chestnut Fire,San Mateo,37.667295,-122.427285,2013,41,
Grant Fire,Santa Clara,37.342186,-121.717706,2013,40,
Baker Fire,Orange,33.7655,-117.6649,2013,40,
Valley Fire,San Diego,0,0,2013,40,
Pierce Fire,Riverside,33.570291,-116.10815,2013,40,
Trout Fire,Siskiyou,0,0,2013,40,
Heacock Fire,Riverside,33.9634,-117.2508,2013,40,
Palmyrita Fire,Riverside,34.001745,-117.302057,2013,40,
54 Fire,Riverside,33.655638,-116.161201,2013,40,
Empire Fire,El Dorado,38.89555,-120.84716,2013,38,
Indian Fire,Lake,39.1591,-122.5906,2013,38,
Fallon Fire,Alameda,37.74241,-121.86216,2013,38,
Michelle Fire,Fresno,36.763367,-119.558244,2013,35,
Cottontail Fire,San Luis Obispo,35.49864,-120.91375,2013,35,
Honey Fire,Shasta,0,0,2013,34,
Dersch Fire,Shasta,40.483662,-122.140914,2013,33,
Chuckwagon Fire,Calaveras,37.965364,-120.696362,2013,31,
Lakeshore Fire,Lake,38.9777,-122.683,2013,30,
Lake Fire,Lake,38.99233,-122.703193,2013,30,
Fawnskin Fire,San Bernardino,34.288877,-116.941311,2013,30,
Sonoma-Lake-Napa Unit Lightning Fires,Sonoma,38.4229,-122.0437,2013,28,
Sonoma-Lake-Napa Unit Lightning Fires,Solano,38.4229,-122.0437,2013,28,
Sonoma-Lake-Napa Unit Lightning Fires,Lake,38.4229,-122.0437,2013,28,
Sonoma-Lake-Napa Unit Lightning Fires,Colusa,38.4229,-122.0437,2013,28,
Cloverdale Fire,Shasta,40.473356,-122.48259,2013,27,
Flume Fire,San Diego,32.612773,-116.707335,2013,25,
Mount Fire,Lake,38.98058,-122.81796,2013,25,
Cherry Fire,Riverside,33.96201,-116.907213,2013,25,
Dam Fire,Lake,38.9289,-122.5818,2013,23,
Refuse Fire,Mendocino,0,0,2013,15,
Gilman Fire,Riverside,33.94528,-117.09306,2013,15,
Ranger Fire,Madera,0,0,2013,15,
Orleans Complex,Humboldt,41.333,-123.376,2013,0,
Hathaway Fire,Riverside,33.99647,-116.84137,2013,0,
King Fire,El Dorado,38.805437,-120.629714,2014,97717,80
July Complex,Siskiyou,0,0,2014,50042,
Bald Fire,Shasta,40.901,-121.368,2014,39736,
Oregon Gulch Fire (part of the Beaver Complex),Siskiyou,42.048,-122.345,2014,35302,
Beaver Fire,Siskiyou,0,0,2014,32496,
Eiler Fire,Shasta,40.72,-121.562,2014,32416,21
Pulgas Fire,San Diego,0,0,2014,14416,
French Fire,Madera,0,0,2014,13838,
Day Fire,Modoc,41.1336,-121.2144,2014,13153,6
Bully Fire,Shasta,40.4314,-122.750788,2014,12661,20
